Categoria,Plato,Precio,Descripcion,Opcion1,Opcion2,Imagen URL
"Causas","Causa de langostino",15,"",,,"/platos/Causa de langostino.webp"
"Causas","Causa de pulpo",15,"",,,"/platos/Causa de pulpo.webp"
"Causas","Causa primaveral",7,"",,,"/platos/Causa primaveral.webp"
"Causas Acevichadas","Causa acevichada de pota con pescado",12,"",,,"/platos/Causa acevichada de pota con pescado.webp"
"Causas Acevichadas","Causa acevichada de pescado",15,"",,,"/platos/Causa acevichada de pescado.webp"
"Causas Acevichadas","Causa acevichada de langostino",16,"",,,"/platos/Causa acevichada de langostino.webp"
"Causas Acevichadas","Causa acevichada de pulpo",16,"",,,"/platos/Causa acevichada de pulpo.webp"
"Causas Acevichadas","Causa acevichada mixta",16,"",,,"/platos/Causa acevichada mixta.webp"
"Leches de tigre","Leche de tigre de pota",10,"",,,"/platos/Leche de tigre de pota.webp"
"Leches de tigre","Leche de tigre de pescado",12,"",,,"/platos/Leche de tigre de pescado.webp"
"Leches de tigre","Leche de tigre de langostino",15,"",,,"/platos/Leche de tigre de langostino.webp"
"Leches de tigre","Leche de tigre mixto",15,"",,,"/platos/Leche de tigre mixto.webp"
"Ceviches","Ceviche de pota",10,"",,,"/platos/Ceviche de pota.webp"
"Ceviches","Ceviche de pota con pescado",12,"",,,"/platos/Ceviche de pota con pescado.webp"
"Ceviches","Ceviche de pescado",15,"",,,"/platos/Ceviche de pescado.webp"
"Ceviches","Ceviche mixto",18,"",,,"/platos/Ceviche mixto.webp"
"Ceviches","Ceviche de langostino",20,"",,,"/platos/Ceviche de langostino.webp"
"Ceviches","Ceviche de pulpo",20,"",,,"/platos/Ceviche de pulpo.webp"
"Chicharrones","Chicharrones de pota",10,"",,,"/platos/Chicharrones de pota.webp"
"Chicharrones","Chicharrones de pota con pescado",12,"",,,"/platos/Chicharrones de pota con pescado.webp"
"Chicharrones","Chicharrones de pescado",15,"",,,"/platos/Chicharrones de pescado.webp"
"Chicharrones","Chicharrones mixtos",18,"",,,"/platos/Chicharrones mixtos.webp"
"Chicharrones","Chicharrones de calamar",20,"",,,"/platos/Chicharrones de calamar.webp"
"Chicharrones","Chicharrones de pescado con calamar",18,"",,,"/platos/Chicharrones de pescado con calamar.webp"
"Duos carretilleros","Dúo carretillero 1",15,"ceviche de pota - chicharrón de pota",,,"/platos/Dúo carretillero 1.webp"
"Duos carretilleros","Dúo carretillero 2",15,"ceviche de pota - chaufa de marisco",,,"/platos/Ceviche de pota ● Chaufa de marisco.webp"
"Duos carretilleros","Dúo carretillero 3",15,"ceviche de pota – arroz con marisco",,,"/platos/Dúo carretillero 3.webp"
"Duos carretilleros","Dúo carretillero 4",15,"ceviche de pota – causa primaveral",,,"/platos/Dúo carretillero 4.webp"
"Duos carretilleros","Dúo carretillero 5",15,"causa primaveral – chicharrón de pota",,,"/platos/Dúo carretillero 5.webp"
"Duos carretilleros","Dúo carretillero 6",15,"causa primaveral – chaufa de mariscos",,,"/platos/Dúo carretillero 6.webp"
"Duos carretilleros","Dúo carretillero 7",15,"causa primaveral – arroz con mariscos",,,"/platos/Dúo carretillero 7.webp"
"Duos carretilleros","Dúo carretillero 8",15,"chicharrón de pota – chaufa de mariscos",,,"/platos/Chicharrón de pota ● Chaufa de mariscos.webp"
"Duos carretilleros","Dúo carretillero 9",15,"chicharrón de pota – arroz con mariscos",,,"/platos/Dúo carretillero 9.webp"
